name,postalCode,officeType,district,province,address,sourceUrl
"Badalgama","11538","Sub Post Office","Gampaha",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Badalkumbura","91070","Post Office","Moneragala",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Baddegama","80200","Post Office","Galle",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Badulla","90000","Post Office","Badulla",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Baduluoya","90019","Sub Post Office","Badulla",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Baduluwela","91058","Sub Post Office","Moneragala",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Baduraliya","12230","Post Office","Kalutara",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Bakamuna","51250","Post Office","Polonnaruwa",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Bakiella","30206","Sub Post Office","Batticaloa",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Bakinigahawela","91554","Sub Post Office","Moneragala",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Bakmeegama","31028","Sub Post Office","Trincomalee",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Bakmitiyawa","32024","Sub Post Office","Ampara",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Balaharuwa","91295","Sub Post Office","Moneragala",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Balalla","60604","Sub Post Office","Kurunegala",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Balana","20308","Sub Post Office","Kandy",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Balangoda","70100","Post Office","Ratnapura",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Balapitiya","80550","Post Office","Galle",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Ballaketuwa","90092","Sub Post Office","Badulla",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Bambaragahaela","20644","Sub Post Office","Kandy",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Bambaragaswewa","21212","Sub Post Office","Matale",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Bambarapana","90322","Sub Post Office","Badulla",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Bamunakotuwa","60347","Sub Post Office","Kurunegala",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Banagala","80143","Sub Post Office","Galle",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Bandagiriya Colony","82005","Sub Post Office","Hambantota",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Bandara Koswatta","60424","Sub Post Office","Kurunegala",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Bandaragama","12530","Post Office","Kalutara",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Bandarawela","90100","Post Office","Badulla",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Banduragoda","11244","Sub Post Office","Gampaha",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Bangadeniya","61238","Sub Post Office","Puttalam",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Baranankattuwa","61262","Sub Post Office","Puttalam",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Barawakumbuka","82110","Post Office","Hambantota",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
